16 bits
t	time_us (--use-tables)
0	0
1	8
2	12
3	10
4	12
5	17
6	11
7	11
8	16
9	14
10	14
11	17
12	14
13	14
14	22
15	21
16	16
17	20
18	17
19	18
20	20

24 bits
t	time_us ()
0	0
1	1
2	3
3	4
4	5
5	8
6	10
7	13
8	15
9	17
10	21
11	24
12	28
13	33
14	35
15	37
16	42
17	44
18	48
19	51
20	54

32 bits
t	time_us ()
0	0
1	1
2	2
3	4
4	6
5	8
6	11
7	13
8	16
9	19
10	23
11	27
12	31
13	33
14	37
15	41
16	47
17	49
18	56
19	56
20	61

64 bits
t	time_us ()
0	0
1	1
2	25
3	49
4	72
5	95
6	118
7	144
8	166
9	192
10	224
11	244
12	270
13	296
14	318
15	342
16	373
17	387
18	418
19	439
20	462

